,guess,guess_idx,is_possible_answer,information,expected_nb_words
0,sarte,5897,True,6.171157411047425,113.72
1,tales,6908,True,6.14329807863814,115.94
2,saren,5892,True,6.1362838727644125,116.5
3,rates,5529,True,6.130887408583186,116.94
4,saner,5886,True,6.111894893574938,118.49
5,ranes,5505,True,6.107669849397281,118.84
6,artes,341,True,6.102542297587487,119.26
7,arnes,327,True,6.089946242601098,120.31
8,raset,5518,True,6.06019913442394,122.81
9,salte,5867,True,6.033721826386941,125.09
10,salen,5859,True,6.004714977822831,127.63
11,tarse,6946,True,5.997126658545124,128.3
12,terns,6995,True,5.9810377924147105,129.74
13,rades,5467,True,5.978681168068468,129.95
14,laset,3841,True,5.968008259670184,130.92
15,raste,5525,True,5.965771356672843,131.12
16,lires,3961,True,5.963261649958711,131.35
17,laser,3840,True,5.96287320600397,131.38
18,dales,1158,True,5.951372333928562,132.44
19,tures,7234,True,5.947988654206876,132.75
20,sorte,6429,True,5.937060290356837,133.76
21,silet,6016,True,5.926336828948378,134.75
22,siler,6014,True,5.923730334737726,135.0
23,rites,5646,True,5.9166217979297215,135.67
24,rasen,5515,True,5.9153345813545615,135.79
25,soler,6408,True,5.911045799071343,136.19
26,solet,6410,True,5.909211852465697,136.36
27,taler,6907,True,5.907248593986272,136.55
28,rents,5585,True,5.906814259233295,136.59
29,dates,1186,True,5.902152012798664,137.03
30,arsen,336,True,5.8945611322729015,137.76
31,soter,6434,True,5.894066554384748,137.8
32,mares,4264,True,5.893161703163918,137.89
33,sager,5847,True,5.888389302176105,138.35
34,rages,5478,True,5.886811002210434,138.5
35,soner,6423,True,5.886538580803318,138.52
36,bares,462,True,5.8860352281834185,138.57
37,lades,3800,True,5.883779139304801,138.79
38,ranet,5506,True,5.879283963940209,139.22
39,ornes,5001,True,5.877940454433363,139.35
40,aries,313,True,5.877386195017652,139.41
41,sonet,6425,True,5.872688441327444,139.86
42,daser,1178,True,5.872328428330164,139.89
43,laste,3846,True,5.871476615525214,139.98
44,snare,6340,True,5.868067804225785,140.31
45,rasle,5522,True,5.867990783740503,140.32
46,sarge,5893,True,5.866846746711716,140.43
47,tones,7093,True,5.8642947724292025,140.68
48,arges,307,True,5.8604534451838495,141.05
49,gales,2205,True,5.858514368944804,141.24
50,lures,4061,True,5.858205384156459,141.27
51,stred,6606,True,5.858026070430979,141.29
52,tages,6895,True,5.851691683896491,141.91
53,trues,7169,True,5.85160438879353,141.92
54,kanes,3254,True,5.850980358343527,141.98
55,anser,275,True,5.846098870178997,142.46
56,vares,7679,True,5.844212676327929,142.65
57,riset,5640,True,5.844003127693667,142.67
58,roset,5685,True,5.833263567878421,143.73
59,anret,272,True,5.830968767591408,143.96
60,sitre,6036,True,5.829372161023302,144.12
61,daset,1180,True,5.828726227985678,144.19
62,anset,277,True,5.827075325759729,144.35
63,lasen,3839,True,5.82612234726707,144.45
64,agres,135,True,5.818083886006395,145.26
65,ganes,2226,True,5.81759883033761,145.3
66,sulet,6684,True,5.817378670160598,145.33
67,urnes,7582,True,5.816468745419088,145.42
68,gates,2239,True,5.81591861588463,145.47
69,rutes,5739,True,5.8133561561133655,145.73
70,suler,6682,True,5.813092287715547,145.76
71,adles,14,True,5.8124473700364545,145.82
72,senat,5950,True,5.809453842979966,146.13
73,lines,3950,True,5.808776092124937,146.2
74,stier,6566,True,5.806690565097798,146.41
75,sande,5883,True,5.801243109585537,146.96
76,sadel,5839,True,5.800297824321705,147.06
77,karet,3274,True,5.794386033837294,147.66
78,silen,6013,True,5.792576642238385,147.85
79,lages,3809,True,5.7907108774120015,148.04
80,samer,5876,True,5.789670631675708,148.14
81,runes,5723,True,5.784492653095319,148.68
82,gaser,2234,True,5.779634707087556,149.18
83,reals,5539,True,5.7795257344968185,149.19
84,sadle,5840,True,5.776491135664276,149.5
85,trens,7139,True,5.773795710062986,149.78
86,gires,2325,True,5.773734747120964,149.79
87,noles,4684,True,5.771179563729317,150.06
88,solen,6407,True,5.770480219957692,150.13
89,tunes,7226,True,5.768989615085374,150.28
90,armes,322,True,5.768827813464894,150.3
91,rides,5609,True,5.7683786776239465,150.35
92,sider,5991,True,5.7667886106148245,150.51
93,resat,5589,True,5.765921121126778,150.6
94,redts,5555,True,5.765714895972009,150.62
95,iltes,3017,True,5.763338426905958,150.87
96,oaser,4802,True,5.760320484063198,151.19
97,rodes,5663,True,5.7600349969883995,151.22
98,raten,5527,True,5.759589475438533,151.27
99,dures,1414,True,5.759011540234828,151.33
