,ord,information
9705,tares,6.173478381951504
8071,saler,6.108526304028294
5163,lares,6.108147980215664
8112,sarte,6.09650413849801
9673,tales,6.072163600896244
8109,saren,6.048871424667214
8265,siret,6.037274067961001
505,artes,6.034754399062689
7594,rates,6.032978407798827
8098,saner,6.027035672125045
489,arnes,6.007183030062699
8906,soret,6.005253212712473
7564,ranes,5.989736073802915
9295,suret,5.986037629963201
8079,salte,5.982957461486021
4283,kares,5.9802006287829
10123,tures,5.973461235553337
9688,tanes,5.964299505486933
7582,raset,5.963269604909817
8572,slaet,5.960663544813546
8241,siler,5.960270759241239
9710,tarse,5.959966885542721
5312,lires,5.957799539698492
9770,terns,5.944466600307622
8069,salen,5.940623817312965
8243,silet,5.929930453763374
8875,soler,5.927600665583048
2774,gares,5.9250866206641035
9151,stred,5.920166430942386
328,alnes,5.917858384770899
7526,rades,5.917732751428886
8910,sorte,5.915982245746221
1441,dales,5.9136729627558156
5152,lanes,5.911535319524675
5170,laser,5.909660336306311
5436,lures,5.904546238603872
9273,suler,5.9024476449310805
335,alser,5.9020611204023785
8262,siren,5.901329128624261
8877,solet,5.893843941163703
8246,silre,5.888366874548403
6917,ortes,5.883027845540499
10775,urtes,5.8804170879663085
5172,laset,5.880392590506571
8914,soter,5.8742424598621925
10014,troes,5.874053212825614
337,alset,5.873754873013291
7590,raste,5.872995711169543
9275,sulet,5.872862512574241
9297,surle,5.868582584285804
9672,taler,5.868578982947052
10107,tules,5.866791166732103
10029,trues,5.866741875785332
8905,soren,5.864171545889732
5164,laret,5.8640437226721955
4716,kraes,5.853941376123701
6908,ornes,5.853743768898516
8899,soner,5.853558967899867
8057,sager,5.851036857407968
8110,sarge,5.8481512661499
7586,rasle,5.84716413574019
10765,urnes,5.846984221033218
9715,tasle,5.846925059288073
9292,suren,5.844384994137029
6141,naser,5.843656960733165
9064,stare,5.841565264731016
8279,sitre,5.841502240880491
501,arsen,5.839666297519248
5118,lades,5.836413876752899
54,adles,5.8339417884039495
8761,snare,5.832862663293559
479,arkes,5.8319722500830675
9299,surne,5.831400652189521
469,arges,5.82891932709937
7883,rutes,5.828123466351088
9155,strie,5.827265500355294
9981,trase,5.824795106672192
1462,daser,5.823848875930224
7543,rakes,5.823116795094206
7579,rasen,5.820891598914419
7537,rages,5.820092456629557
2741,gales,5.817459649247148
8413,skren,5.814617683667522
9152,streg,5.813674328177382
9836,tines,5.8116050599444975
7735,riset,5.809540210530657
441,anser,5.809315927608107
10938,vares,5.808854743271632
8901,sonet,5.8079575611242005
1748,dures,5.806111397831716
8211,sider,5.805180489124659
9703,taren,5.8015398132028935
4299,kaser,5.800107871879457
8886,solte,5.7997540238555905
9093,stier,5.798827465038113
8048,sadle,5.798505055549709
4683,kores,5.798156728497229
8618,slire,5.79679545124352
8240,silen,5.795832134761364
6143,naset,5.791618713460179
8047,sadel,5.790784766153391
9924,tones,5.789708663480792
5176,laste,5.789398780081445
9687,taner,5.788418456665507
474,aries,5.7874077626128635
267,agres,5.7842874814509715
7793,roset,5.783552900368044
637,bares,5.783181000027935
6874,ordes,5.781862334370225
7851,runes,5.780759884317256
8853,soder,5.779952233831787
4892,kures,5.779130001611743
3899,iltes,5.7785007215724935
9277,sulte,5.778197465983688
9656,tages,5.77703590917431
2881,gires,5.775180017030699
9610,søret,5.7751356871260695
7681,rides,5.772320524743202
1541,diles,5.770833944085562
5683,mares,5.770572015937343
433,anret,5.7704055484159245
4253,kanes,5.767738150789144
6998,pares,5.761979933005428
8094,sande,5.761279223194116
10303,tøres,5.761209638553186
9054,stale,5.760011724546289
443,anset,5.759887600235195
5298,lines,5.759484184591151
10115,tunes,5.758468198234195
7565,ranet,5.7583385894725865
10127,turse,5.7582523758134805
1464,daset,5.756354615479227
7869,ruset,5.755299874144506
8874,solen,5.755202444279189
10265,tæres,5.755069670102683
4293,karse,5.753208069890929
4349,kerns,5.75131877992364
6257,noles,5.749898324755073
7762,rodes,5.7483114484156275
4284,karet,5.747892963763894
5448,lutes,5.747779392163108
9990,trens,5.746980350876098
2998,gores,5.745190515398829
