,word,expected_information,expected_nb_words
5518,raset,7.398113413102331,48.58418359092939
6946,tarse,7.276424306680327,52.859978288735434
5892,saren,7.2434829874913325,54.080824684628695
5897,sarte,7.2399563365997235,54.21318633054133
5529,rates,7.22910299214309,54.62256819177881
3841,laset,7.222646928473372,54.867552054566
341,artes,7.220953819015643,54.93198098834748
5525,raste,7.181799483478738,56.44323415394009
5685,roset,7.179172775117269,56.546093705628856
5515,rasen,7.1703532001267885,56.89283365499983
362,asnet,7.168657860882605,56.959728837128246
5640,riset,7.165899724045511,57.06872830805701
336,arsen,7.16453223233223,57.12284786140014
5886,saner,7.16193589055426,57.225741380459205
327,arnes,7.14539515275347,57.88561956976776
277,anset,7.139056905886784,58.14049011498486
5505,ranes,7.1326372379998855,58.399778656667
1180,daset,7.129221019153097,58.53822982982228
3840,laser,7.124726896035685,58.72086592820031
3284,karse,7.121985572638106,58.832549902703164
5867,salte,7.090113069741428,60.14676188874062
361,asner,7.086318535487065,60.30516636485018
3846,laste,7.076300167179124,60.725395115397184
6908,tales,7.073993499781328,60.82256417999565
275,anser,7.055506981346687,61.60695189662479
1178,daser,7.046496445889638,61.99293003713359
3829,lanse,7.046100782395962,62.00993411795433
5859,salen,7.025322754708655,62.90947770108176
6425,sonet,7.01621769334458,63.30776420158175
5522,rasle,7.01575245046153,63.3281830950546
5467,rades,7.011200879182977,63.52829323575585
6410,solet,7.003258009700317,63.879017767814105
3839,lasen,7.002427312854756,63.91580958937819
6606,stred,7.002101969026505,63.93022494291666
6340,snare,6.9986653048867264,64.08269555965016
6016,silet,6.993907675628689,64.29437229078252
4275,maset,6.987605762494162,64.57583425360897
155,akset,6.985984258357368,64.64845448545559
6429,sorte,6.978440992713806,64.98736019023947
5646,rites,6.978123442239794,65.00166608149591
6434,soter,6.9745283775773075,65.16384629922074
5642,riste,6.961918740490759,65.73589641923718
5687,roste,6.9606683538190275,65.79289454850876
5506,ranet,6.9585999117411435,65.8872917647662
7234,tures,6.955633488451153,66.02290647726582
3292,kaste,6.955484903105379,66.02970662650212
4802,oaser,6.954696807537595,66.06578627845326
2234,gaser,6.946304649791725,66.45121090978711
